price,distance
50000,1.04
60000,1.05
180000,0.98
48000,4.78
90000,0.99
145000,1.01
85000,1.05
135000,1
145000,1
50000,0.98
75000,1.05
120000,0.98
50000,0.59
60000,5.29
84000,5.29
96000,5.29
125000,4.72
145000,4.72
160000,4.72
170000,4.72
210000,4.72
150000,4.72
180000,4.72
198000,4.72
200000,4.72
205000,4.72
210000,4.72
210000,4.72
210000,4.72
65000,0.76
50000,5.17
54134,5.17
55000,5.17
55152,5.17
58000,5.17
60000,5.17
63000,5.17
71000,5.17
115000,0.62
90000,0.62
56000,4.26
60000,4.08
70000,0.73
70000,0.73
100000,0.93
48000,0.66
35000,5.54
100000,0.88
92000,0.91
92000,0.88
115000,0.66
100000,0.88
90000,0.72
110000,1.02
110000,1.02
100000,0.93
100000,0.88
56000,1.02
68000,1.02
60000,1.02
51000,1.02
56000,1.02
51000,1.02
55000,1.02
56000,1.02
59000,1.02
55000,1.01
36000,1.01
43000,1.01
44000,1.01
46000,1.01
43500,1.01
45000,1.01
44000,1.01
44000,1.01
45000,1.01
90000,1
100000,0.88
100000,0.88
180000,0.93
180000,0.93
140000,0.76
140000,0.76
108000,0.93
185000,0.92
150000,0.52
100000,0.47
120000,1.01
120000,0.99
180000,0.92
180000,0.92
80000,0.62
185000,0.91
40000,1.03
45000,1.03
55000,0.66
108000,0.92
95000,0.92
55000,1.03
55000,1.03
50000,1.03
53000,1.03
53000,1.03
59000,1.03
62000,1.03
55000,1.03
38000,1.23
38000,1.21
38000,1.23
38000,1.21
100000,0.45
65000,4.29
115000,4.21
120000,0.63
60000,1.05
115000,0.9
250000,5.07
95000,0.9
66000,4.77
66000,4.77
48000,4.83
62000,4.83
65000,4.83
69000,0.87
62000,5.23
85000,0.72
54000,4.84
54000,4.84
58000,4.84
62000,4.84
63000,4.84
66000,4.84
72000,4.84
75000,0.73
75000,0.73
90000,4.81
72000,5.22
66000,4.85
66000,4.85
85000,0.73
50000,1.07
60000,1.07
53000,1.07
56000,1.07
59000,1.07
53000,1.07
55000,1.07
100000,0.92
54000,4.85
55000,4.85
85000,1.08
85000,4.82
100000,0.7
100000,0.71
120000,0.84
85000,0.94
52000,1.01
60000,0.66
70000,1.1
85000,1
25245,0.82
230000,0.87
90000,1.1
140000,0.33
110000,0.32
92000,1.41
120000,0.31
120000,0.31
68000,4.54
65000,0.85
87000,0.88
87000,0.87
160000,0.36
120000,0.31
160000,0.34
85000,1
145000,0.93
140000,0.87
129000,0.93
140000,0.87
120000,0.81
275000,0.49
90000,0.87
79000,0.76
135000,0.54
65000,1.14
56000,1.14
60000,1.14
70000,1.14
80000,1.14
58000,1.14
78000,1.14
60000,1.14
63000,1.14
64000,1.14
80000,1.14
107000,0.63
60000,2.92
110000,0.77
110000,0.82
75000,5.09
140000,5.1
130000,1.03
107000,0.63
145000,0.76
110000,5.12
72000,0.9
55000,5.11
55000,5.11
70000,5.11
80000,5.11
85000,5.11
95000,5.11
98000,5.11
98000,5.11
118000,5.11
140000,5.09
250000,0.66
56600,5.07
77000,5.06
85000,5.06
68000,0.73
56000,0.77
100000,0.67
100000,0.67
68000,0.77
69000,0.73
58000,0.7
78000,0.68
130000,0.65
110000,0.92
78000,0.75
150000,0.93
125000,0.83
140000,5.07
65000,0.87
130000,0.67
80000,0.66
80000,0.64
26000,4.94
63000,0.69
98000,0.98
150000,0.86
190000,0.74
100000,0.42
67000,0.42
110000,4.96
150000,0.46
48000,0.29
67000,0.43
60000,0.42
60000,0.42
60000,0.33
92000,0.34
135000,0.47
60000,0.32
135000,0.48
60000,0.8
62000,0.8
56000,0.8
56000,0.8
125000,0.82
140000,0.5
130000,0.5
68000,0.81
59250,0.81
75000,0.82
42000,4.36
51000,4.36
68000,0.81
60000,0.58
190000,0.7
112000,1.08
53000,0.7
52000,0.82
65500,0.82
65500,0.82
68000,0.82
68500,0.82
68500,0.82
68500,0.82
130000,0.87
130000,0.87
130000,0.87
85000,4.29
80000,1.18
120000,0.59
100000,1.17
55000,4.36
76400,4.36
45000,4.36
78000,0.69
39000,0.58
38000,0.61
78000,0.65
75000,0.57
75000,0.57
55000,0.53
190000,1.13
76000,4.32
90900,4.32
94900,4.32
96000,4.32
78000,0.81
75000,4.36
65000,4.15
93000,4.1
100000,4.1
58000,4.17
86500,4.17
120000,0.85
150000,0.58
70000,0.56
105800,4.06
190000,0.82
46000,0.22
54000,0.56
54000,0.56
98000,0.63
68000,0.63
75000,0.38
120000,0.54
135000,0.32
110000,0.54
75000,0.38
50000,0.64
80000,0.6
80000,0.57
140000,0.77
160000,0.79
60000,1.13
120000,0.77
80000,0.36
32000,0.23
120000,0.54
120000,0.72
130000,0.18
110000,1.01
125000,0.91
145000,0.18
92000,0.52
29000,3.2
170000,3.2
90000,0.35
35000,3.07
104000,0.58
28631,4.67
30000,4.67
49000,0.62
79000,4.51
130000,0.16
120000,0.67
120000,0.67
67000,0.45
90000,0.28
115000,0.59
78000,4.67
78000,4.65
80000,4.67
80000,4.65
82000,4.67
140000,0.71
68000,3.99
75000,4.51
80300,3.99
88900,4.51
140000,0.7
130000,0.58
130000,0.68
50000,0.57
70900,4.39
88400,4.39
50000,0.33
30000,0.41
90000,0.16
58000,0.45
58000,0.45
58000,0.45
58000,0.45
135000,0.93
135000,0.93
130000,0.62
130000,0.62
60000,4.17
70000,4.23
160000,0.68
68000,0.44
58000,0.6
69000,0.45
58000,0.59
58000,0.63
165000,0.57
105000,0.6
105000,0.6
105000,0.58
165000,0.57
82900,4.64
64450,0.56
95000,0.64
200000,0.49
65000,4.63
66000,4.63
95000,4.63
53000,0.33
125000,0.17
52000,0.44
53000,0.46
62000,0.48
67000,0.57
26000,0.34
120000,0.79
120000,0.64
60000,4.65
170000,0.51
150000,1.22
110000,0.64
53872,1.08
150000,0.84
170000,0.55
125000,0.21
100000,1.21
115000,1.1
75000,0.8
120000,0.92
68000,0.41
92000,1.34
150000,1.13
126000,0.4
80000,1.02
65000,0.36
140000,0.56
70000,0.11
120000,0.76
120000,0.94
55000,1.26
110000,1.28
82000,1.16
215000,0.71
65000,0.09
90000,0.57
38000,0.38
68000,0.41
50000,1.15
230000,0.63
70000,0.27
55000,0.11
100000,0.71
55000,1.13
130000,0.53
60000,0.26
85000,1.14
130000,0.8
120000,0.48
115000,0.49
22000,0.75
120000,0.74
55000,1.13
120000,0.35
75000,1.11
65000,0.11
135000,0.73
80000,0.93
82000,1.16
99000,1.23
60000,0.84
200000,1.53
90000,0.33
60000,0.11
85000,0.44
120000,0.74
70000,0.23
120000,0.59
120000,0.4
120000,0.66
57000,1.21
63000,0.08
55000,1.13
65000,0.41
75000,0.84
38000,0.74
120000,1.14
120000,1.2
180000,0.54
65000,0.11
120000,0.48
110000,1.21
70000,0.22
85000,1.01
120000,0.49
100000,0.75
75000,0.41
68000,1.04
80000,0.81
65000,0.41
90000,0.6
55000,0.21
90000,1.24
55000,1.27
25000,0.26
95000,0.91
90000,0.8
82000,1.15
70000,0.22
110000,0.11
60000,0.39
55000,0.22
53000,0.28
70000,0.42
120000,0.79
90000,1.35
195000,1.14
126000,0.41
99000,1.21
135000,0.71
89000,0.84
65000,1.67
55000,1.26
55000,0.21
124000,0.42
130000,0.69
63000,0.16
33900,0.98
120000,0.72
21630,0.04
85000,0.34
170000,1.04
35000,1.03
30900,0.66
120000,0.56
90000,0.81
200000,0.7
180000,1.14
75000,0.75
100000,0.21
195000,1.09
80000,0.55
90000,0.8
70000,0.37
95000,0.26
90000,0.68
62000,0.22
150000,0.45
195000,1.09
40000,0.17
112000,0.77
99000,0.06
158000,0.58
110000,0.75
63000,0.22
120000,0.91
100000,0.44
48000,0.33
87000,0.81
90000,1.14
32250,0.11
22900,0.28
35000,0.45
128500,0.76
