,id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
3548,506044,60000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4.0,0.0,1.0,0.0,3.0,2.0,1.0,61.0,3.0,421.05,21.17,0.0,5.59,18.75,1.23,52.0,0,0,11.0021,0
3549,506064,60000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,63.0,1.0,726.02,2.44,0.0,2.12,8.18,0.46,234.0,0,0,11.0021,0
3550,506065,60000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,63.0,3.0,726.02,2.44,0.0,2.12,8.18,0.46,234.0,0,0,11.0021,0
3551,506088,60000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,65.0,3.0,721.95,4.72,0.0,2.03,8.58,0.46,234.0,0,0,11.0021,0
3552,506099,60000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,7.0,0.0,1.0,0.0,3.0,2.0,1.0,66.0,4.0,337.6,0.39,0.0,0.1,29.85,54.09,224.53,0,0,11.0021,0
3553,506100,60000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,1.0,0.0,0.0,3.0,3.0,1.0,66.0,3.0,352.33,9.27,0.0,3.96,8.11,1.28,52.0,0,0,11.0021,0
3554,506114,60000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,1.0,0.0,0.0,2.0,2.0,1.0,68.0,4.0,412.03,4.87,0.0,1.22,8.83,6.59,69.68,0,0,11.0021,0
3555,506156,60000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,4.0,474.4,3.58,0.0,0.89,10.58,12.62,89.1,0,0,11.0021,0
3556,506159,60000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,4.0,453.73,2.8,0.0,0.7,14.6,21.51,118.1,0,0,11.0021,0
3557,506164,60000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,3.0,312.48,6.02,0.0,1.16,18.19,16.9,121.7,0,0,11.0021,0
3558,506165,60000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,3.0,726.02,2.44,0.0,2.12,8.18,0.46,234.0,0,0,11.0021,0
3559,506203,60000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,2.0,80.0,3.0,556.65,33.84,0.0,1.24,22.83,20.71,161.15,0,0,11.0021,0
