,price_000,pop_dens,ses,house,area_m2,num_bath,pcn_green,thefts,year,high_ses,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006
2339,48000,507.88,3,0,65,1,5.97,122.0,2001,0,1,0,0,0,0,0
2340,48000,217.09,3,0,66,2,3.77,122.0,2003,0,0,0,1,0,0,0
2341,48000,904.89,3,0,68,2,3.31,122.0,2002,0,0,1,0,0,0,0
2342,48000,181.17,3,0,72,2,4.1,122.0,2005,0,0,0,0,0,1,0
2343,48000,181.17,3,0,72,2,4.1,122.0,2005,0,0,0,0,0,1,0
2344,48000,561.37,3,1,80,2,0.78,122.0,2006,0,0,0,0,0,0,1
2345,48000,849.3,4,0,82,2,3.92,122.02,2004,0,0,0,0,1,0,0
2346,48000,197.12,3,0,90,3,3.95,122.0,2005,0,0,0,0,0,1,0
2347,48000,825.15,3,0,134,1,1.99,122.0,2003,0,0,0,1,0,0,0
2348,48900,248.63,3,0,66,2,3.48,122.0,2004,0,0,0,0,1,0,0
2349,48900,248.63,3,0,66,2,3.48,122.0,2004,0,0,0,0,1,0,0
2350,48900,248.63,3,0,66,2,3.48,122.0,2004,0,0,0,0,1,0,0
2351,48900,248.63,3,0,66,2,3.48,122.0,2004,0,0,0,0,1,0,0
2352,49000,275.73,3,1,72,2,4.03,122.0,2006,0,0,0,0,0,0,1
2353,49500,394.73,3,0,110,2,4.24,122.0,2005,0,0,0,0,0,1,0
2354,49900,248.63,3,0,62,2,3.48,122.0,2005,0,0,0,0,0,1,0
2355,49900,248.63,3,0,63,2,3.48,122.0,2005,0,0,0,0,0,1,0
2356,49900,248.63,3,0,63,2,3.48,122.0,2005,0,0,0,0,0,1,0
2357,50000,452.66,3,0,52,1,3.89,122.0,2005,0,0,0,0,0,1,0
2358,50000,173.0,3,0,54,1,4.34,122.0,2004,0,0,0,0,1,0,0
2359,50000,297.23,3,0,60,2,3.61,122.0,2006,0,0,0,0,0,0,1
2360,50000,341.69,3,0,60,1,3.71,122.0,2006,0,0,0,0,0,0,1
2361,50000,50.79,3,0,62,2,4.3,122.0,2004,0,0,0,0,1,0,0
2362,50000,663.26,3,0,70,2,1.36,123.18,2005,0,0,0,0,0,1,0
2363,50000,400.96,3,0,70,1,3.81,122.0,2004,0,0,0,0,1,0,0
2364,50000,68.26,3,0,70,2,2.84,122.0,2001,0,1,0,0,0,0,0
2365,50000,234.33,3,0,72,2,4.06,122.0,2005,0,0,0,0,0,1,0
2366,50000,246.24,3,0,78,1,1.96,122.0,2002,0,0,1,0,0,0,0
2367,50000,401.77,3,0,81,1,5.74,138.41,2001,0,1,0,0,0,0,0
2368,50000,401.77,3,0,81,2,5.74,138.41,2001,0,1,0,0,0,0,0
2369,50000,146.67,3,0,91,3,4.43,122.0,2001,0,1,0,0,0,0,0
2370,50000,507.88,3,0,135,1,5.97,122.0,2001,0,1,0,0,0,0,0
2371,50900,192.16,3,0,70,2,3.8,122.0,2005,0,0,0,0,0,1,0
2372,51000,744.46,3,0,55,2,8.32,122.0,2005,0,0,0,0,0,1,0
2373,51000,327.09,4,0,60,1,6.18,122.0,2006,0,0,0,0,0,0,1
2374,51520,581.69,3,0,62,2,4.12,122.0,2002,0,0,1,0,0,0,0
2375,51520,581.69,4,0,62,2,4.12,122.0,2002,0,0,1,0,0,0,0
2376,51520,581.69,3,0,62,2,4.12,122.0,2002,0,0,1,0,0,0,0
2377,51900,797.08,3,0,66,2,5.07,122.0,2005,0,0,0,0,0,1,0
2378,52000,867.58,3,0,44,1,2.65,122.0,2005,0,0,0,0,0,1,0
2379,52000,567.83,3,0,55,2,5.02,122.0,2006,0,0,0,0,0,0,1
2380,52000,744.46,3,0,55,2,8.32,122.0,2005,0,0,0,0,0,1,0
2381,52000,744.46,3,0,55,2,8.32,122.0,2005,0,0,0,0,0,1,0
2382,52000,371.89,3,0,56,1,6.77,143.58,2003,0,0,0,1,0,0,0
